method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,250,0.0,0.0,0.0,0.5880272523574563,0.5501160499293887,0.6249948962676264,0.06467475341908674,0.056281489542930684,0.07293792592283357,0.5823512570585807,0.5729239655427536,0.5911671442882318,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,0.15327066580705212,0.1340014859462608,0.1741845042238248,0.024,0.008,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,250,6.210582051426172e-05,2.7602586895227432e-05,0.00010350970085710288,0.5874273205089605,0.54934570616364,0.6242120632492831,0.06446965046040491,0.05616037414723865,0.07265902430411235,0.5823332445846001,0.5729078106832902,0.5911516233706078,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,0.152772230541984,0.13330289762816463,0.17370044388312597,0.024,0.008,0.044,0.003251993866168701,0.0013023883172335465,0.0060303452665715455,0.003251993866168701,0.0012581217418241863,0.0060441992759432,6.210582051426172e-05,2.7602586895227432e-05,0.00010350970085710288,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,1.0,0.0,250,0.00033123104833066464,0.000144913581199944,0.000552396784070879,0.586621924632916,0.548297579394822,0.6234991155570769,0.06409457120251778,0.05573782770728741,0.07233991117733835,0.5822692391401528,0.5728675899647077,0.5910774553913722,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,0.15195412840088937,0.13222945482583917,0.17311908888359323,0.028,0.012,0.048,0.00858962410863473,0.003853759508951124,0.014813181290122995,0.00858962410863473,0.004001450617853513,0.014195311499222067,0.00033123104833066464,0.000144913581199944,0.000552396784070879,0.004,0.0,0.012,False
direct_invariance_only,False,0.0,2.0,0.0,250,0.0013939306568354368,0.0005242766377748922,0.0024987242169212543,0.5851601516361089,0.5465701744361978,0.6221998010966137,0.06332970201377867,0.05509189234898669,0.07143826066611324,0.5822527745292584,0.5728393957853218,0.5910275618921966,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,0.15025680092338087,0.13037363714313183,0.17136220605325506,0.036,0.016,0.064,0.019663677115262956,0.008710568858516293,0.034148823202190204,0.019663677115262956,0.009464553465326962,0.032651090154089686,0.0013939306568354368,0.0005242766377748922,0.0024987242169212543,0.012,0.0,0.024,False
direct_invariance_only,False,0.0,2.8716851859981913,0.0,250,0.016107134443707764,0.006357612224342302,0.026786001308565024,0.5815834946784965,0.5430268998441353,0.6191901435390057,0.05771868045001924,0.05085337341635022,0.06497957714109726,0.5823933661272128,0.5725944934300432,0.5911204953027815,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,0.14083811740611776,0.1208615922929099,0.16233394463981196,0.044,0.02,0.072,0.08111498919555371,0.036093832314429516,0.13987702429964616,0.08111498919555371,0.035890243481625436,0.1306513179545993,0.016107134443707764,0.006357612224342302,0.026786001308565024,0.02,0.0,0.04,True
direct_invariance_only,False,0.0,5.0,0.0,250,0.08544291900098323,0.06269192318017595,0.10966500290355179,0.5674417793220152,0.5276886282944097,0.6065417726087464,0.040832038538246164,0.035846594247347575,0.04603652973758454,0.5901360181673367,0.5803171305965383,0.5993087737921029,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,0.09771651682578594,0.07389450408652361,0.12238792505089541,0.112,0.072,0.152,0.36245780422981677,0.23824457341129396,0.4940636105507329,0.36245780422981677,0.23646214229870993,0.49633364422180254,0.08544291900098323,0.06269192318017595,0.10966500290355179,0.088,0.052,0.1240999999999999,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,250,0.2128359276773408,0.18133327023992316,0.24403427545577286,0.29507736610381075,0.25564221821152755,0.335558885092544,0.0801416818416152,0.07188453236183655,0.08881172894342312,0.5848439120986064,0.5769570804699311,0.5925753128964751,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,-0.06065475012558135,-0.09093720818229864,-0.03189549299299974,0.168,0.124,0.216,0.604263804778288,0.40511095695091187,0.7800824398486632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,250,0.21744015534128994,0.18488287161113695,0.24982973978947848,0.29215172804240047,0.252305278471858,0.33309314210063345,0.07309176881939462,0.06500587115940813,0.081724866569,0.5876480155255397,0.5793508023183693,0.5960787391185562,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,-0.07722821937864671,-0.10782606756896082,-0.047862507484283244,0.184,0.136,0.232,0.4961317681240648,0.2813093506386547,0.6748515264193192,-0.10813203665422322,-0.1849337240109066,-0.04652585087810116,0.004604227663949132,-0.003443994886940345,0.012937645204132419,0.016,0.004,0.032,False
direct_invariance_only,False,1.0,1.0,0.0,250,0.232812324360013,0.20047766198592726,0.26508673869245686,0.2843488092868376,0.24168409921286824,0.3257501671670051,0.06359186073897558,0.056085472143265536,0.07129008971863042,0.591941359269619,0.5840279777646165,0.6007899549490113,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,-0.10101208906203653,-0.13138779719108062,-0.07175653265835309,0.2,0.152,0.248,0.34095615406800905,0.13301660870451043,0.5321200595217899,-0.26330765071027895,-0.37864099572440024,-0.16026570579060684,0.019976396682672204,0.006747580962558277,0.03433209640467539,0.032,0.0,0.068,False
direct_invariance_only,False,1.0,2.0,0.0,250,0.2540270538646728,0.21947374487451743,0.28935438679144715,0.2770345162746255,0.23428206422554612,0.3179922567319871,0.05385517141738316,0.04726880402476707,0.06143848112915257,0.5953488891881704,0.5868864975241422,0.6041005561755995,0.01436989810783416,0.010797761697461829,0.01818630338567309,0.15327066580705212,0.13200153253318062,0.1731922372373311,-0.12516798015771327,-0.15224623267163645,-0.09729262194415719,0.212,0.16390000000000002,0.264,0.18335332140278215,-0.01464921716487826,0.36167889391422586,-0.42091048337550585,-0.5508992568060597,-0.2913898007332617,0.04119112618733198,0.02240513656830881,0.061921684327186075,0.044,0.008,0.08,False
