method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,250,0.0,0.0,0.0,0.5525764949475088,0.5161028259469578,0.5845219973279272,0.059829377046659485,0.05507223625711062,0.0646705273831579,0.5844477155486743,0.5757916967660188,0.5933872787625244,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,0.16906218558733113,0.14850663097937777,0.18837741120001802,0.032,0.012,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,250,0.0,0.0,0.0,0.5525764949475088,0.5161028259469578,0.5845219973279272,0.059829377046659485,0.05507223625711062,0.0646705273831579,0.5844477155486743,0.5757916967660188,0.5933872787625244,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,0.16906218558733113,0.14850663097937777,0.18837741120001802,0.032,0.012,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,1.0,0.0,250,0.0,0.0,0.0,0.5525764949475088,0.5161028259469578,0.5845219973279272,0.059829377046659485,0.05507223625711062,0.0646705273831579,0.5844477155486743,0.5757916967660188,0.5933872787625244,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,0.16906218558733113,0.14850663097937777,0.18837741120001802,0.032,0.012,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,2.0,0.0,250,0.0,0.0,0.0,0.5525764949475088,0.5161028259469578,0.5845219973279272,0.059829377046659485,0.05507223625711062,0.0646705273831579,0.5844477155486743,0.5757916967660188,0.5933872787625244,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,0.16906218558733113,0.14850663097937777,0.18837741120001802,0.032,0.012,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,2.5105335577834373,0.0,250,0.0,0.0,0.0,0.5525764949475088,0.5161028259469578,0.5845219973279272,0.059829377046659485,0.05507223625711062,0.0646705273831579,0.5844477155486743,0.5757916967660188,0.5933872787625244,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,0.16906218558733113,0.14850663097937777,0.18837741120001802,0.032,0.012,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
direct_invariance_only,False,0.0,5.0,0.0,250,2.0733929704874755e-05,0.0,4.837916931137443e-05,0.5525764949475088,0.5161028259469578,0.5845219973279272,0.05982438585477219,0.05506907268104496,0.0646641213756597,0.5844549484034379,0.5757997403790553,0.5933943562602649,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,0.16894152304091256,0.14830645860460634,0.1882567031098287,0.032,0.012,0.056,0.0007137169438534707,0.0,0.0016490836432350967,0.0007137169438534707,0.0,0.0018011300584848287,2.0733929704874755e-05,0.0,4.837916931137443e-05,0.0,0.0,0.0,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,250,0.2923890958465636,0.25947426463686857,0.32890416932232913,0.17501313947258007,0.1452059735031886,0.20713621512394312,0.09863363268366533,0.09488029895746311,0.1021282361822522,0.6001566194329659,0.5920531495807766,0.607800211525942,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,-0.0742991630065561,-0.0992708767172299,-0.05011349001203562,0.208,0.16,0.26,0.5605216935505901,0.37544589752778623,0.7253587244825319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,250,0.2763686738107353,0.24348260356959653,0.3123460071191192,0.19138999384862262,0.15776909448316995,0.22417424205027067,0.09661918511066786,0.09274400413347397,0.10002934475692177,0.5986703346478939,0.5901861155198218,0.6062648918812623,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,-0.06692262659722777,-0.09288901433073635,-0.042192152391075405,0.188,0.144,0.24,0.6041537830311672,0.41629570342931954,0.7684794295979707,0.04363208948057706,0.0035048407572268736,0.09272158537262179,-0.016020422035828232,-0.028398241676273757,-0.0067911992739536796,-0.02,-0.04,-0.004,False
direct_invariance_only,False,1.0,1.0,0.0,250,0.24032983415573836,0.20839201090185672,0.2760095635247184,0.23166979404989752,0.19579098792174657,0.2662137035743249,0.0908699930308403,0.08684302690334804,0.0946505027300716,0.5921519824282329,0.5840413062797786,0.6002751682863087,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,-0.051168637668642256,-0.07764856911951888,-0.02633693157741827,0.176,0.128,0.228,0.6973383640411388,0.5158540027305938,0.8501052970250205,0.1368166704905487,0.05516450737323599,0.2262736016988313,-0.052059261690825226,-0.0731837514435174,-0.03236775757444558,-0.032,-0.056,-0.012,False
direct_invariance_only,False,1.0,2.0,0.0,250,0.1664845258081332,0.13524515945874155,0.1982753063014825,0.32263419720164416,0.2815800224201022,0.362624757745198,0.07935212029409335,0.0748592672221377,0.08360918279564925,0.5851357028851907,0.5771969460699261,0.5935760482246031,0.02427652309089899,0.020205806593317537,0.028411845942307265,0.16906218558733113,0.14988063526737277,0.18890030312014544,-0.005051339142839518,-0.02941508280075726,0.021397164323376527,0.14,0.096,0.184,0.9701214134592494,0.7954675678765033,0.9971885730219704,0.4095997199086593,0.1888926019100041,0.5386569737320308,-0.1259045700384304,-0.15604593562091468,-0.09566327696032823,-0.068,-0.104,-0.036,False
