method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,41,0.0,0.0,0.0,0.045707746893071464,0.032843177184212605,0.059263242608043415,0.17741300583707298,0.15907469994254853,0.19521147977047154,0.2899783167352037,0.2764311063353245,0.30318570216072765,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.4257920518411644,0.4078982259007188,0.44460330839693735,0.36585365853658536,0.21951219512195122,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,41,0.0021159996210438447,0.0,0.004751908093145708,0.045707746893071464,0.032843177184212605,0.059263242608043415,0.17017365739374243,0.15240902537985412,0.18896898528472464,0.28925633121554445,0.2755109815676583,0.30281210263691294,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.41746862859050643,0.39428011981067035,0.4395450254523465,0.36585365853658536,0.21951219512195122,0.5121951219512195,0.01954809446223038,0.0,0.046565500566005766,0.01954809446223038,0.0,0.04750312212168671,0.0021159996210438447,0.0,0.004751908093145708,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.7300135021058552,0.0,41,0.0042319992420876895,0.0012373634636765572,0.007589391865426807,0.04232047662499995,0.029080074319113552,0.05613449582547718,0.1661156680424591,0.1493358099485141,0.18299996028533552,0.2885493431694624,0.27409986237109435,0.302128264948544,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.410781714370838,0.3861975119175432,0.43329168656224093,0.4146341463414634,0.2682926829268293,0.5609756097560976,0.035252742284456295,0.010073749925217779,0.06836287501488723,0.035252742284456295,0.00905128174934933,0.06712403271807235,0.0042319992420876895,0.0012373634636765572,0.007589391865426807,0.04878048780487805,0.0,0.12195121951219512,True
direct_invariance_only,False,0.0,1.0,0.0,41,0.0074241807593441594,0.0037120903683144873,0.011817361501318107,0.038180471454746276,0.025193424707161644,0.051576479153657165,0.16254801223675658,0.14616744131325377,0.17821921795643517,0.2873751015016219,0.2729392997057336,0.30119243167885923,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.4015885300605133,0.37619368733572983,0.4251798711502157,0.43902439024390244,0.2926829268292683,0.5853658536585366,0.05684352649607438,0.0253569533293087,0.09691348507567274,0.05684352649607438,0.025323450700441428,0.09513333728174404,0.0074241807593441594,0.0037120903683144873,0.011817361501318107,0.07317073170731707,0.0,0.17073170731707318,False
direct_invariance_only,False,0.0,2.0,0.0,41,0.013091089226668927,0.007421060326145736,0.019476361389885226,0.034069147284344195,0.021890671434984788,0.04781800716284803,0.15878924436658576,0.14349539655304577,0.17379562127128348,0.28554166753481075,0.2706880245335037,0.299714493453957,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.39577782237280223,0.370635202106306,0.41911607554325764,0.4634146341463415,0.3170731707317073,0.6097560975609756,0.0704903469629784,0.03896509961021299,0.11197530889789595,0.0704903469629784,0.03866767796202788,0.10902383765122034,0.013091089226668927,0.007421060326145736,0.019476361389885226,0.0975609756097561,0.024390243902439025,0.1951219512195122,False
direct_invariance_only,False,0.0,5.0,0.0,41,0.0696147586014576,0.044687865223599285,0.09893262228053973,0.023813200149587144,0.014248191056273684,0.03560338777620515,0.1418148614602154,0.12702424184985805,0.15663004209830397,0.2773115600391132,0.2609769205721777,0.2931464618094629,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.3670052067160572,0.33603731588896935,0.3946071392467223,0.5365853658536586,0.3902439024390244,0.6829268292682927,0.13806468408911687,0.09128310590247918,0.19138915728212652,0.13806468408911687,0.091641412211531,0.19156900905607796,0.0696147586014576,0.044687865223599285,0.09893262228053973,0.17073170731707318,0.07256097560975613,0.2926829268292683,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,41,0.006743090386252578,0.002672272688913636,0.011298361823258057,0.032708227599228076,0.020786936682085387,0.0464160799976481,0.17069954244282376,0.15442015062686737,0.1867868919408235,0.2880539102706967,0.2747307085409397,0.3010549115630366,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.41051145459796445,0.3928039175564662,0.4284982584668235,0.43902439024390244,0.2926829268292683,0.5853658536585366,0.035887464731023666,0.014835542016048562,0.05960105811174684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,41,0.00973772616466371,0.005308181161015499,0.01472575556395984,0.03241527158677903,0.020366272881740213,0.04604013869303841,0.1618516579731218,0.14593293968191093,0.17720904440833335,0.287013738257129,0.27309589667881773,0.3003504978152128,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.4001440713481964,0.37889054275453493,0.4217939631335919,0.4634146341463415,0.3170731707317073,0.6097560975609756,0.06023593061933341,0.03203216748763402,0.094234916838048,0.024348465888309745,0.00357430774650839,0.052170376097636285,0.0029946357784111327,0.0007174546126185394,0.005791725795261744,0.024390243902439025,0.0,0.07317073170731707,False
direct_invariance_only,False,1.0,0.7300135021058552,0.0,41,0.012966282256856197,0.006542424191493632,0.02078738310828623,0.030036748195093436,0.01858968173925869,0.04313648115806465,0.16058302691655327,0.14466840838891248,0.1760864936166141,0.2866006268233788,0.27265491410181286,0.29991168399318685,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.39776554795651076,0.3768665188082841,0.41744332841565224,0.4634146341463415,0.3170731707317073,0.6097560975609756,0.06582204567573413,0.0361591594131613,0.09971489252994435,0.029934580944710465,0.005792412582977699,0.057747743519011,0.00622319187060362,0.0010752728135075148,0.013720121757104629,0.024390243902439025,0.0,0.07317073170731707,True
direct_invariance_only,False,1.0,1.0,0.0,41,0.01719828136265278,0.009378998812356192,0.026851614177363307,0.02826290137377804,0.016858112662649066,0.04112440736112818,0.15779627594393003,0.14240321676384707,0.17248730477591112,0.2850333201449092,0.2707784371927562,0.2988725933041878,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.39133829761026667,0.36786001537849905,0.41249561771613324,0.4634146341463415,0.3170731707317073,0.6097560975609756,0.08091685620226241,0.04727678742607633,0.1208923503265715,0.045029391471238744,0.01570799449298436,0.07921460962139638,0.010455190976400202,0.0033533630620052176,0.019785251851170887,0.024390243902439025,0.0,0.07317073170731707,False
direct_invariance_only,False,1.0,2.0,0.0,41,0.02892721049124148,0.017483360885937767,0.041732321357604386,0.024643203804643816,0.014358008657882369,0.03689118100040796,0.1524253971722471,0.13723990219264193,0.16715551213421284,0.28237665653592203,0.2679222502155093,0.29673212506785623,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.3848385320023697,0.36171571827388205,0.40566511142425105,0.5365853658536586,0.3902439024390244,0.6829268292682927,0.09618197348143975,0.06254738596071806,0.13498079259118023,0.06029450875041609,0.029402233620253702,0.09367835391765847,0.0221841201049889,0.011617604928749909,0.03441947496427995,0.0975609756097561,0.024390243902439025,0.1951219512195122,False
direct_invariance_only,False,1.0,5.0,0.0,41,0.09050943357188528,0.06312765252901378,0.12170042920993958,0.0183038556051017,0.009409645291928611,0.029259713638815656,0.13792819412535443,0.12305676073083296,0.1530793735638939,0.2750298809714434,0.25949993748444977,0.2901969021208948,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.35960977992639787,0.330319659367952,0.3864769167694612,0.6341463414634146,0.4878048780487805,0.7560975609756098,0.15543331921906067,0.10690791638491257,0.20673318685682432,0.119545854488037,0.07588160275919356,0.16333523868345481,0.0837663431856327,0.057398275861221294,0.11408522305158307,0.1951219512195122,0.07317073170731707,0.3170731707317073,False
ordinary_actionable_recourse,True,3.0,0.0,0.0,41,0.02964466501299928,0.01752064432835252,0.04424615016138953,0.020514532094732738,0.010942896970072004,0.03148524808262289,0.16439060764311675,0.14836965636093363,0.18073669969467746,0.282770897829678,0.26993860654169466,0.295908270063015,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.39586077771956346,0.38223152086834794,0.41065716628202786,0.5365853658536586,0.3902439024390244,0.6829268292682927,0.07029552099945346,0.04448086297978346,0.09588179465100424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,3.0,0.5,0.0,41,0.03671012882415841,0.022754795238284803,0.05331397589080307,0.019076053570637796,0.00984023537661565,0.029900284197702888,0.1549148788315131,0.13956287244465623,0.17034156159214697,0.28138790352315435,0.26832506690719504,0.2947461373036409,0.20365790332235942,0.19725048156773173,0.21000027238595778,0.4257920518411644,0.40833475856554863,0.4413919235211124,0.3840015597625593,0.36615527492418753,0.4009688146765786,0.5853658536585366,0.43902439024390244,0.7317073170731707,0.09814765658001168,0.0691172457208931,0.13108286371696456,0.027852135580558213,0.006341944303438857,0.05507374512015778,0.007065463811159134,0.0017572723147345753,0.014334331727132377,0.04878048780487805,0.0,0.12195121951219512,False
