
Logistic Reg.  (λ_EB = 1.6858, marked † below)
                 η   Feasible  SCHL_GRP  OCCP_GRP      WKHP     Cost   Shortfall    NIE_pre   NIE_post   dNIE/NIE0
                 0     17.2%      0.0%      0.0%      0.00   0.0000     0.45725    +0.0667    +0.0667      +0.000
            0.4214     17.2%      0.0%      0.0%      0.42   0.0022     0.44690    +0.0667    +0.0680      -0.019
            0.8429     18.8%     11.2%      0.0%      0.88   0.0236     0.41796    +0.0667    +0.0716      -0.073
            1.686†     49.2%    125.2%     37.2%      1.29   0.4352     0.05238    +0.0667    +0.1117      -0.674
             1.768     50.4%    126.0%     39.2%      1.28   0.4482     0.04490    +0.0667    +0.1125      -0.686
             3.372     66.4%    137.6%     44.8%      1.61   0.5227     0.01520    +0.0667    +0.1149      -0.721
             3.536     67.2%    137.6%     44.8%      1.67   0.5267     0.01405    +0.0667    +0.1150      -0.723
             6.743     77.2%    141.2%     45.2%      2.02   0.5783     0.00252    +0.0667    +0.1153      -0.728
             7.073     78.0%    141.2%     45.2%      2.03   0.5794     0.00236    +0.0667    +0.1153      -0.728
             14.15     86.4%    143.6%     44.4%      2.12   0.6014     0.00034    +0.0667    +0.1154      -0.729
             28.29     93.2%    143.6%     45.2%      2.09   0.6058     0.00008    +0.0667    +0.1153      -0.728
               inf    100.0%    142.8%     46.0%      2.08   0.6104     0.00000    +0.0667    +0.1152      -0.726

MLP (64--32)  (λ_EB = 7.0725, marked † below)
                 η   Feasible  SCHL_GRP  OCCP_GRP      WKHP     Cost   Shortfall    NIE_pre   NIE_post   dNIE/NIE0
                 0     16.4%      0.0%      0.0%      0.00   0.0000     0.49057    +0.0753    +0.0753      -0.000
            0.4214     17.2%      0.0%      0.0%      0.50   0.0043     0.46976    +0.0753    +0.0803      -0.066
            0.8429     20.8%      8.0%      1.2%      0.91   0.0354     0.42826    +0.0753    +0.0819      -0.087
             1.686     42.8%     71.6%     27.6%      1.21   0.3253     0.18601    +0.0753    +0.0748      +0.007
             1.768     43.6%     77.2%     29.2%      1.24   0.3466     0.17365    +0.0753    +0.0740      +0.018
             3.372     56.4%     93.2%     38.4%      1.93   0.4931     0.11195    +0.0753    +0.0670      +0.110
             3.536     58.4%     93.2%     38.8%      1.94   0.4972     0.11076    +0.0753    +0.0665      +0.117
             6.743     71.6%    109.2%     50.0%      3.08   0.7716     0.05245    +0.0753    +0.0621      +0.176
            7.073†     74.8%    110.4%     51.2%      3.15   0.8022     0.04801    +0.0753    +0.0612      +0.188
             14.15     82.0%    119.2%     56.4%      4.32   1.0808     0.01846    +0.0753    +0.0592      +0.214
             28.29     84.8%    122.4%     57.6%      4.91   1.2675     0.00889    +0.0753    +0.0581      +0.229
               inf     94.0%    122.4%     58.4%      5.39   1.5174     0.00533    +0.0753    +0.0591      +0.215
